# difficulty|id|givens|solution
easy|easy_001|534678010070100308108042567859760403406053090010904856961537080080400605305086179|534678912672195348198342567859761423426853791713924856961537284287419635345286179
easy|easy_002|640789023083016409209400670960872034037064802804100960170648095098021706406300280|645789123783216459219453678961872534537964812824135967172648395398521746456397281
easy|easy_003|756891030090300501301064789172980605608075020030206178283759010010600807507018392|756891234894327561321564789172983645648175923935246178283759416419632857567418392
easy|easy_004|860912045015038602402600890280194056059086104106300280390861027021043908608500410|867912345915438672432675891283194756759286134146357289394861527521743968678529413
easy|easy_005|978123050020500703503086912394210807801097040050408391415972030030800109709031524|978123456126549783543786912394215867861397245257468391415972638632854179789631524
medium|medium_001|500678002602090048190040507800761003406050091710020806900537004207010035340080109|534678912672195348198342567859761423426853791713924856961537284287419635345286179
medium|medium_002|600080100003010009200450670001000504530064800804000007100040305008500046406090200|645789123783216459219453678961872534537964812824135967172648395398521746456397281
medium|medium_003|700891004804020061320060709100983005608070023930040108200759006409030057560010302|756891234894327561321564789172983645648175923935246178283759416419632857567418392
medium|medium_004|800010300005030002400670890003000706750086100106000009300060507001700068608020400|867912345915438672432675891283194756759286134146357289394861527521743968678529413
medium|medium_005|900123006106040083540080902300215007801090045250060301400972008602050079780030504|978123456126549783543786912394215867861397245257468391415972638632854179789631524
hard|hard_001|500070010000100300008002000050000003400050090000900800001007000080000005300080070|534678912672195348198342567859761423426853791713924856961537284287419635345286179
hard|hard_002|600000000083000000009050600000800004030064000000105900000000090300000006006000000|645789123783216459219453678961872534537964812824135967172648395398521746456397281
hard|hard_003|700090030000300500001004000070000005600070020000200100003009000010000007500010090|756891234894327561321564789172983645648175923935246178283759416419632857567418392
hard|hard_004|800000000015000000002070800000100006050086000000307200000000020500000008008000000|867912345915438672432675891283194756759286134146357289394861527521743968678529413
hard|hard_005|900020050000500700003006000090000007800090040000400300005002000030000009700030020|978123456126549783543786912394215867861397245257468391415972638632854179789631524
easy|easy_006|607203850083079000201400309800105207000004015105062040700008500318007062029041083|697213854483579126251486379846195237972834615135762948764328591318957462529641783
easy|easy_007|000500064725694130900000705008020079070906083390007016000005091081009302239018000|813572964725694138946183725658321479174956283392847516467235891581769342239418657
easy|easy_008|406100092002006043000040165070065000000090607360780004907814006610020038825000400|456173892182956743793248165278465319541392687369781524937814256614527938825639471
medium|medium_006|780400390406001800003000050005003000000782030300140200001520060030064702007010584|782456391456931827913278456275693148194782635368145279841527963539864712627319584
medium|medium_007|006500049050200001010060720061098000900120078508604002082000000000002100095040080|326517849457289361819463725261798534934125678578634912682971453743852196195346287
medium|medium_008|069000000000400680004200030005000400407906528690000070300072100950080000020009803|569738214273491685184265937815327469437916528692854371348572196951683742726149853
hard|hard_006|490783500076500000800000000000400600040000200709612300037000062510000000200009800|491783526376521984825964173182435697643897251759612348937158462518246739264379815
hard|hard_007|523008000600000000800342090040000009008004710000105024000070000700000000001800947|523968471694751238817342596145237689238694715976185324482579163769413852351826947
hard|hard_008|006070900002600351000090600007000500000430000000000003619084200000003106700000000|346571982972648351581392647237819564165437829498256713619784235854923176723165498
easy|easy_001_rot90|309048105086105073501069804045907016803056407607430208160804530708590601950603780|329748165486125973571369824245987316813256497697431258162874539738592641954613782
easy|easy_002_rot90|401809206097036084680470930306108407024067018018042069270980640809603702065024093|431859276597236184682471935356198427924367518718542369273985641849613752165724893
easy|easy_003_rot90|502061307018307095703082106067209038105078609809650401380106750901720803270805910|542961387618347295793582146467219538135478629829653471384196752951724863276835914
easy|easy_004_rot90|603102408029058016810690250508301609046089031031064082490210860102805904087046025|653172498729458316814693257578321649246589731931764582495217863162835974387946125
easy|easy_005_rot90|704083509031509027905014308089402051307091802102870603510308970203940105490107230|764283519831569427925714368689432751357691842142875693516328974273946185498157236
hard|hard_001_rot90|300040005080005000001000800000900010800050007007000200000800030700090001050003000|329748165486125973571369824245987316813256497697431258162874539738592641954613782
hard|hard_002_rot90|030000006000030080600000930000108000000060500000540000000900600009000000060004000|431859276597236184682471935356198427924367518718542369273985641849613752165724893
hard|hard_003_rot90|500060007010007000003000100000200030100070009009000400000100050900020003070005000|542961387618347295793582146467219538135478629829653471384196752951724863276835914
hard|hard_004_rot90|050000008000050010800000250000301000000080700000760000000200800002000000080006000|653172498729458316814693257578321649246589731931764582495217863162835974387946125
hard|hard_005_rot90|700080009030009000005000300000400050300090002002000600000300070200040005090007000|764283519831569427925714368689432751357691842142875693516328974273946185498157236
medium|medium_001_rot90|329748165400100900070060020005007006813256497007001008100800500030090040954613782|329748165486125973571369824245987316813256497697431258162874539738592641954613782
medium|medium_002_rot90|401850206000030000680401030050000400904060518000040000203085601040000700065704090|431859276597236184682471935356198427924367518718542369273985641849613752165724893
medium|medium_003_rot90|542961387600300200090080040007009008135478629009003001300100700050020060276835914|542961387618347295793582146467219538135478629829653471384196752951724863276835914
medium|medium_004_rot90|603170408000050000810603050070000600206080731000060000405017803060000900087906020|653172498729458316814693257578321649246589731931764582495217863162835974387946125
medium|medium_005_rot90|764283519800500400020010060009002001357691842002005003500300900070040080498157236|764283519831569427925714368689432751357691842142875693516328974273946185498157236
